t_s,a_code,b_code,c,d
-0.0015,115,112,0,0
-0.00149,115,112,0,0
-0.00148,115,112,0,0
-0.00147,115,112,0,0
-0.00146,115,112,0,0
-0.00145,115,112,0,0
-0.00144,115,112,0,0
-0.00143,115,112,0,0
-0.00142,115,112,0,0
-0.00141,115,112,0,0
-0.0014,115,111,0,0
-0.00139,115,112,0,0
-0.00138,115,112,0,0
-0.00137,115,112,0,0
-0.00136,115,112,0,0
-0.00135,115,112,0,0
-0.00134,115,112,0,0
-0.00133,115,112,0,0
-0.00132,114,112,0,0
-0.00131,115,112,0,0
-0.0013,115,112,0,0
-0.00129,116,112,0,0
-0.00128,115,112,0,0
-0.00127,115,112,0,0
-0.00126,115,111,0,0
-0.00125,115,112,0,0
-0.00124,116,112,0,0
-0.00123,115,111,0,0
-0.00122,115,112,0,0
-0.00121,115,112,0,0
-0.0012,115,112,0,0
-0.00119,115,112,0,0
-0.00118,115,112,0,0
-0.00117,115,112,0,0
-0.00116,115,112,0,0
-0.00115,115,112,0,0
-0.00114,115,111,0,0
-0.00113,115,112,0,0
-0.00112,114,112,0,0
-0.00111,115,112,0,0
-0.0011,114,112,0,0
-0.00109,115,111,0,0
-0.00108,115,111,0,0
-0.00107,115,111,0,0
-0.00106,115,112,0,0
-0.00105,115,112,0,0
-0.00104,115,112,0,0
-0.00103,115,111,0,0
-0.00102,115,111,0,0
-0.00101,115,112,0,0
-0.001,180,112,0,0
-0.00099,180,112,0,0
-0.00098,180,112,0,0
-0.00097,180,112,0,0
-0.00096,179,111,0,0
-0.00095,180,112,0,0
-0.00094,180,111,0,0
-0.00093,180,112,0,0
-0.00092,180,112,0,0
-0.00091,180,112,0,0
-0.0009,179,112,0,0
-0.00089,180,112,0,0
-0.00088,179,112,0,0
-0.00087,180,112,0,0
-0.00086,179,112,0,0
-0.00085,179,111,0,0
-0.00084,179,112,0,0
-0.00083,180,112,0,0
-0.00082,180,111,0,0
-0.00081,179,112,0,0
-0.0008,179,111,0,0
-0.00079,179,112,0,0
-0.00078,180,111,0,0
-0.00077,180,112,0,0
-0.00076,180,112,0,0
-0.00075,179,112,0,0
-0.00074,179,112,0,0
-0.00073,180,112,0,0
-0.00072,180,112,0,0
-0.00071,179,112,0,0
-0.0007,179,112,0,0
-0.00069,179,112,0,0
-0.00068,180,112,0,0
-0.00067,180,111,0,0
-0.00066,180,112,0,0
-0.00065,180,111,0,0
-0.00064,179,112,0,0
-0.00063,180,111,0,0
-0.00062,180,112,0,0
-0.00061,180,112,0,0
-0.0006,179,112,0,0
-0.00059,179,112,0,0
-0.00058,180,111,0,0
-0.00057,180,112,0,0
-0.00056,179,112,0,0
-0.00055,179,112,0,0
-0.00054,179,112,0,0
-0.00053,180,112,0,0
-0.00052,180,111,0,0
-0.00051,180,112,0,0
-0.0005,115,111,0,0
-0.00049,114,112,0,0
-0.00048,115,112,0,0
-0.00047,115,111,0,0
-0.00046,115,112,0,0
-0.00045,115,112,0,0
-0.00044,115,112,0,0
-0.00043,115,112,0,0
-0.00042,115,112,0,0
-0.00041,115,112,0,0
-0.0004,115,112,0,0
-0.00039,115,112,0,0
-0.00038,115,112,0,0
-0.00037,115,112,0,0
-0.00036,115,112,0,0
-0.00035,115,112,0,0
-0.00034,115,112,0,0
-0.00033,115,112,0,0
-0.00032,115,111,0,0
-0.00031,115,112,0,0
-0.0003,115,112,0,0
